request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_82,479.1,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,Paying the full requested amount of 1405.20 IDR today is not safe. It is highly recommended to wait until 2025-02-15 when incoming cash flows restore the balance safely above the required minimum of 1100.00 IDR.
request_83,11982.06,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 37800.00 IDR.
request_84,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 91300.00 IDR.
request_85,1140703.63,not_affordable,not_recommended,none,2024-04-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 6396300.00 IDR.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,The requested payment of 46300.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 84900.00 IDR throughout the 90-day forecast.
request_87,16918.22,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 185900.00 IDR.
request_88,10735.76,not_affordable,not_recommended,none,2024-07-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 25800.00 IDR.
request_89,9392469.64,not_affordable,not_recommended,none,2026-01-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 12534700.00 IDR.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,The requested payment of 2560.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 7600.00 IDR throughout the 90-day forecast.
request_91,877.57,affordable_later,wait,2024-10-15:1927.20,2024-10-15,none,Paying the full requested amount of 1927.20 IDR today is not safe. It is highly recommended to wait until 2024-10-15 when incoming cash flows restore the balance safely above the required minimum of 2100.00 IDR.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,The requested payment of 34034.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 28100.00 IDR throughout the 90-day forecast.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,The requested payment of 1729.20 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 1900.00 IDR throughout the 90-day forecast.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,The requested payment of 572.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 600.00 IDR throughout the 90-day forecast.
request_95,52813.61,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 145500.00 IDR.
request_96,72758.9,not_affordable,not_recommended,none,2026-02-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 56500.00 IDR.
request_97,1599.79,not_affordable,not_recommended,none,2024-04-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 29700.00 IDR.
request_98,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 30000.00 IDR.
request_99,17445.42,affordable_later,wait,2026-07-15:18062,2026-07-15,none,Paying the full requested amount of 18062.00 IDR today is not safe. It is highly recommended to wait until 2026-07-15 when incoming cash flows restore the balance safely above the required minimum of 49100.00 IDR.
request_100,26952.23,not_affordable,not_recommended,none,2024-07-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 32500.00 IDR.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,The requested payment of 143500.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 187400.00 IDR throughout the 90-day forecast.
request_102,1716.0,not_affordable,not_recommended,none,2026-04-05,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 900.00 IDR.
request_103,22840.67,affordable_later,wait,2024-10-15:368300,2024-10-15,none,Paying the full requested amount of 368300.00 IDR today is not safe. It is highly recommended to wait until 2024-10-15 when incoming cash flows restore the balance safely above the required minimum of 125500.00 IDR.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,The requested payment of 17204.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 24700.00 IDR throughout the 90-day forecast.
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,The requested payment of 53500.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 73900.00 IDR throughout the 90-day forecast.
request_106,987.92,affordable_later,wait,2024-12-15:2207.70,2024-12-15,none,Paying the full requested amount of 2207.70 IDR today is not safe. It is highly recommended to wait until 2024-12-15 when incoming cash flows restore the balance safely above the required minimum of 1200.00 IDR.
request_107,762.84,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1600.00 IDR.
request_108,1717.35,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 24100.00 IDR.
request_109,716.89,not_affordable,not_recommended,none,2024-04-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1700.00 IDR.
request_110,22352.0,not_affordable,not_recommended,none,2025-08-06,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 11200.00 IDR.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,The requested payment of 16625000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 23022800.00 IDR throughout the 90-day forecast.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,The requested payment of 271.70 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 500.00 IDR throughout the 90-day forecast.
request_113,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 82300.00 IDR.
request_114,63481.39,affordable_later,wait,2026-01-15:65300,2026-01-15,none,Paying the full requested amount of 65300.00 IDR today is not safe. It is highly recommended to wait until 2026-01-15 when incoming cash flows restore the balance safely above the required minimum of 113400.00 IDR.
request_115,14648.4,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Paying the full requested amount of 80500.00 IDR today is not safe. It is highly recommended to wait until 2024-11-15 when incoming cash flows restore the balance safely above the required minimum of 38800.00 IDR.
request_116,9179.66,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 80300.00 IDR.
request_117,859.11,affordable_later,wait,2026-07-15:880,2026-07-15,none,Paying the full requested amount of 880.00 IDR today is not safe. It is highly recommended to wait until 2026-07-15 when incoming cash flows restore the balance safely above the required minimum of 1000.00 IDR.
request_118,668.12,not_affordable,not_recommended,none,2025-02-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 600.00 IDR.
request_119,59410.32,not_affordable,not_recommended,none,2025-05-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 151200.00 IDR.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,The requested payment of 7714000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 20050300.00 IDR throughout the 90-day forecast.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,The requested payment of 633.60 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 800.00 IDR throughout the 90-day forecast.
request_122,20558000.0,not_affordable,not_recommended,none,2025-08-05,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 12588500.00 IDR.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,The requested payment of 4076000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 18091200.00 IDR throughout the 90-day forecast.
request_124,1608.58,not_affordable,not_recommended,none,2024-07-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1600.00 IDR.
request_125,0.0,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 11300.00 IDR.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,The requested payment of 159600.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 129700.00 IDR throughout the 90-day forecast.
request_127,11180.0,affordable_later,wait,2024-09-15:23980,2024-09-15,none,Paying the full requested amount of 23980.00 IDR today is not safe. It is highly recommended to wait until 2024-09-15 when incoming cash flows restore the balance safely above the required minimum of 41000.00 IDR.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,The requested payment of 25168.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 42600.00 IDR throughout the 90-day forecast.
request_129,111.57,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 800.00 IDR.
request_130,500.72,affordable_later,wait,2024-12-15:1978.80,2024-12-15,none,Paying the full requested amount of 1978.80 IDR today is not safe. It is highly recommended to wait until 2024-12-15 when incoming cash flows restore the balance safely above the required minimum of 1400.00 IDR.
request_131,1461.26,not_affordable,not_recommended,none,2025-05-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1100.00 IDR.
request_132,315.05,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,Paying the full requested amount of 379.86 IDR today is not safe. It is highly recommended to wait until 2026-01-15 when incoming cash flows restore the balance safely above the required minimum of 1100.00 IDR.
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 9986200.00 IDR.
request_134,5446486.56,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,Paying the full requested amount of 21831000.00 IDR today is not safe. It is highly recommended to wait until 2025-10-15 when incoming cash flows restore the balance safely above the required minimum of 15902500.00 IDR.
request_135,283.19,affordable_later,wait,2026-07-15:304.80,2026-07-15,none,Paying the full requested amount of 304.80 IDR today is not safe. It is highly recommended to wait until 2026-07-15 when incoming cash flows restore the balance safely above the required minimum of 500.00 IDR.
request_136,528.5,affordable_later,wait,2024-06-15:560.40,2024-06-15,none,Paying the full requested amount of 560.40 IDR today is not safe. It is highly recommended to wait until 2024-06-15 when incoming cash flows restore the balance safely above the required minimum of 1100.00 IDR.
request_137,33425.82,affordable_later,wait,2026-01-15:80100,2026-01-15,none,Paying the full requested amount of 80100.00 IDR today is not safe. It is highly recommended to wait until 2026-01-15 when incoming cash flows restore the balance safely above the required minimum of 71800.00 IDR.
request_138,1009.93,not_affordable,not_recommended,none,2026-04-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 2300.00 IDR.
request_139,2038.65,not_affordable,not_recommended,none,2024-09-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1500.00 IDR.
request_140,1428.76,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 21600.00 IDR.
request_141,25500.51,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 67300.00 IDR.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,The requested payment of 1263.60 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 1700.00 IDR throughout the 90-day forecast.
request_143,3571.58,affordable_later,wait,2025-07-15:12584,2025-07-15,none,Paying the full requested amount of 12584.00 IDR today is not safe. It is highly recommended to wait until 2025-07-15 when incoming cash flows restore the balance safely above the required minimum of 11300.00 IDR.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,The requested payment of 233.34 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 600.00 IDR throughout the 90-day forecast.
request_145,44648.67,not_affordable,not_recommended,none,2024-05-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 155400.00 IDR.
request_146,13161.3,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 108600.00 IDR.
request_147,477.46,not_affordable,not_recommended,none,2026-04-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 900.00 IDR.
request_148,7127.0,not_affordable,not_recommended,none,2024-08-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 20000.00 IDR.
request_149,22359.66,not_affordable,not_recommended,none,2026-01-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 42100.00 IDR.
request_150,325.09,not_affordable,not_recommended,none,2026-01-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 700.00 IDR.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,The requested payment of 26999000.00 IDR is fully safe to pay immediately since the projected daily balance stays safely above the required minimum balance of 31633600.00 IDR throughout the 90-day forecast.
request_152,11882.05,not_affordable,not_recommended,none,2025-04-15,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 11900.00 IDR.
request_153,204.72,not_affordable,not_recommended,none,,none,The requested payment is currently not affordable within the 90-day forecast period without violating the required minimum balance of 1400.00 IDR.
